Indice,Malevolo,Dispositivo,TipologiaAttacco,RMSE
9,0,8,0,0.34178569047787233
24,0,8,0,0.2378462259332326
40,0,8,0,0.27300926899707173
52,0,8,0,0.0707703328614848
58,0,8,0,0.04473009089239367
66,0,8,0,0.04294940809362369
70,0,8,0,0.04312498366814466
74,0,8,0,0.05128684467350443
77,0,8,0,0.04113067784318965
84,0,8,0,0.04876909436126803
89,0,8,0,0.04190279761280707
92,0,8,0,0.04169492679765829
105,0,8,0,0.04184719595371966
116,0,8,0,0.04384957548072618
118,0,8,0,0.04216727501843858
126,0,8,0,0.045763405850768435
135,0,8,0,0.04378006820413761
159,0,8,0,0.04881502255106424
164,0,8,0,0.04335319755596728
166,0,8,0,0.041798681358587504
167,0,8,0,0.04331245754164367
170,0,8,0,0.05120349623296806
172,0,8,0,0.04690885041817673
179,0,8,0,0.041718326539365115
180,0,8,0,0.04319939012347267
192,0,8,0,0.08460500874895091
195,0,8,0,0.0900373143641883
199,0,8,0,0.15771572718131657
212,0,8,0,0.20994014487471008
220,0,8,0,0.17392639226524156
235,0,8,0,0.2075705530209829
237,0,8,0,0.22223809515230633
245,0,8,0,0.20530274971309057
247,0,8,0,0.2398192931786716
256,0,8,0,0.21365657787932135
258,0,8,0,0.21980781150828288
262,0,8,0,0.2390763198244097
263,0,8,0,0.22391378223915664
276,0,8,0,0.20943844122210425
285,0,8,0,0.1985475000569587
289,0,8,0,0.2138869710644356
301,0,8,0,0.2106439635201998
307,0,8,0,0.1984494976811004
309,0,8,0,0.2020902682672088
315,0,8,0,0.1887463248832641
323,0,8,0,0.20727900991812728
345,0,8,0,0.2238151914176769
355,0,8,0,0.18632458903716065
362,0,8,0,0.22751124954591667
371,0,8,0,0.20707009385605496
378,0,8,0,0.18373711766546288
389,0,8,0,0.21609429048985807
413,0,8,0,0.2027315447007713
419,0,8,0,0.1992232094951303
431,0,8,0,0.2102136994897854
437,0,8,0,0.20525931355115687
443,0,8,0,0.2035789379076733
450,0,8,0,0.20128420739522376
452,0,8,0,0.17698079613721768
461,0,8,0,0.20414547386840715
463,0,8,0,0.20276699118361863
472,0,8,0,0.2009236275423362
474,0,8,0,0.20402377627389764
495,0,8,0,0.05417227159529415
501,0,8,0,0.08380195217969712
505,0,8,0,0.05287881842323042
537,0,8,0,0.04187327730554543
541,0,8,0,0.08811757775273889
542,0,8,0,0.04792781772870256
543,0,8,0,0.04207137503462195
545,0,8,0,0.04861335815070432
546,0,8,0,0.054640250528194774
556,0,8,0,0.04221933258334698
557,0,8,0,0.08161456738752021
569,0,8,0,0.04227135040266243
572,0,8,0,0.042097288863148265
592,0,8,0,0.06590132751626927
593,0,8,0,0.04935378595102146
594,0,8,0,0.05632255921289692
599,0,8,0,0.06489823333761473
613,0,8,0,0.04704373794098027
618,0,8,0,0.062246070614757766
621,0,8,0,0.062006318300664325
627,0,8,0,0.05664871312593148
628,0,8,0,0.043353168192637806
635,0,8,0,0.06078392458984773
647,0,8,0,0.04275199158255229
649,0,8,0,0.048642031873936044
666,0,8,0,0.04152772960103521
672,0,8,0,0.04132459489869362
676,0,8,0,0.04301053766504986
684,0,8,0,0.049232790568382145
696,0,8,0,0.056791510546093056
699,0,8,0,0.056609563571262476
718,0,8,0,0.04937186853803803
722,0,8,0,0.05640557455482676
753,0,8,0,0.04929213626291986
758,0,8,0,0.04280328298314882
762,0,8,0,0.05300047691812456
764,0,8,0,0.04136832598943104
771,0,8,0,0.041895806168298376
776,0,8,0,0.04891496537919311
795,0,8,0,0.049284168148476866
816,0,8,0,0.05051219356980503
818,0,8,0,0.05539338114162941
830,0,8,0,0.04936583578856907
838,0,8,0,0.0427001281438429
854,0,8,0,0.05432599088267913
865,0,8,0,0.04176570617345492
866,0,8,0,0.049132840677736066
868,0,8,0,0.05382757655052952
876,0,8,0,0.04350722588484146
880,0,8,0,0.04807273552928335
881,0,8,0,0.048942284829497334
895,0,8,0,0.05512387851004141
901,0,8,0,0.05023526094496133
929,0,8,0,0.04685889709578813
941,0,8,0,0.041527554226879496
955,0,8,0,0.04308308638038171
1011,0,8,0,0.04923549859815217
1046,0,8,0,0.04935750979745462
1058,0,8,0,0.04377121178619138
1094,0,8,0,0.05342049585534896
1111,0,8,0,0.04308114890948246
1118,0,8,0,0.04277511353966423
1129,0,8,0,0.04773820016777842
1146,0,8,0,0.042278615815159994
1150,0,8,0,0.04305210796328533
1155,0,8,0,0.04132707829753715
1188,0,8,0,0.04133427247464308
1189,0,8,0,0.04140468237849944
1197,0,8,0,0.049075481054981086
1205,0,8,0,0.042898902863574895
1206,0,8,0,0.049157372121236116
1223,0,8,0,0.05351258532913803
1234,0,8,0,0.04289732815808357
1241,0,8,0,0.054476964330309754
1245,0,8,0,0.045367794990232045
1251,0,8,0,0.04116374822685531
1259,0,8,0,0.04643756718759893
1261,0,8,0,0.04147751580172542
1262,0,8,0,0.04312153523866973
1266,0,8,0,0.05248048257471412
1274,0,8,0,0.042941672489207605
1284,0,8,0,0.04291468491212017
1304,0,8,0,0.042643126577840654
1329,0,8,0,0.04126497842185548
1336,0,8,0,0.042379081900734035
1341,0,8,0,0.0523315896677735
1392,0,8,0,0.052464179249714436
1409,0,8,0,0.04131616701153298
1420,0,8,0,0.04302722060497751
1437,0,8,0,0.0416762293913713
1441,0,8,0,0.0428993282033107
1455,0,8,0,0.052146185994367655
1467,0,8,0,0.04304191644644318
1471,0,8,0,0.05214365825619986
1481,0,8,0,0.052719811566326824
1490,0,8,0,0.052353826176477485
1491,0,8,0,0.041304855644892786
1493,0,8,0,0.05237887528289572
1500,0,8,0,0.051565132172869066
1514,0,8,0,0.05520964021435787
1522,0,8,0,0.04141779676535854
1523,0,8,0,0.04291176278646555
1527,0,8,0,0.05222525940323157
1545,0,8,0,0.04176517200822542
1546,0,8,0,0.043024059596370214
1551,0,8,0,0.051470724157877366
1553,0,8,0,0.04293551263348087
1566,0,8,0,0.044768574433648074
1568,0,8,0,0.04163403766350172
1576,0,8,0,0.05263851661144783
1602,0,8,0,0.04138272675589994
1604,0,8,0,0.0523714060007625
1614,0,8,0,0.052055215195565524
1619,0,8,0,0.04290484189666494
1629,0,8,0,0.0448286434061778
1636,0,8,0,0.04119903383643274
1650,0,8,0,0.04988675069374755
1654,0,8,0,0.05569545781095948
1658,0,8,0,0.05241623384246595
1671,0,8,0,0.050186328277297125
1702,0,8,0,0.05502576129214796
1717,0,8,0,0.048045377865161734
1722,0,8,0,0.05184983288616881
1727,0,8,0,0.042909420776856715
1736,0,8,0,0.0429589077403585
1737,0,8,0,0.04445659624797734
1738,0,8,0,0.05148839511884443
1752,0,8,0,0.042844707731542725
1757,0,8,0,0.051955692590345916
1768,0,8,0,0.04319702935001972
1777,0,8,0,0.04130821013513551
1794,0,8,0,0.04289752254140434
1806,0,8,0,0.04147483232851589
1810,0,8,0,0.042912485362403385
1820,0,8,0,0.0430084191239679
1824,0,8,0,0.05458654809776048
1845,0,8,0,0.042902606557869115
1851,0,8,0,0.041669838648201535
1865,0,8,0,0.044516506698990745
1877,0,8,0,0.05608873950515905
1886,0,8,0,0.04910307030718471
1891,0,8,0,0.04291537083597915
1898,0,8,0,0.04444453250740379
1899,0,8,0,0.04852040820784339
1938,0,8,0,0.04912911106405145
1946,0,8,0,0.045400519393295244
1949,0,8,0,0.0476416293940454
1962,0,8,0,0.046363308885251274
1964,0,8,0,0.04400250298860594
1969,0,8,0,0.0413841469264012
1972,0,8,0,0.041419427829333916
1974,0,8,0,0.04913275782968175
1976,0,8,0,0.042911146072748776
2016,0,8,0,0.042899465980557536
2017,0,8,0,0.049280699609100094
2020,0,8,0,0.04927655720421278
2036,0,8,0,0.04920990874191987
2054,0,8,0,0.04890975313066326
2057,0,8,0,0.04289052334407344
2060,0,8,0,0.04595172229458289
2066,0,8,0,0.048614716139723124
2088,0,8,0,0.05526595291822172
2092,0,8,0,0.04444657302729748
2113,0,8,0,0.05817834580781157
2134,0,8,0,0.0413185219135969
2154,0,8,0,0.04309899361506508
2156,0,8,0,0.048831083246052065
2162,0,8,0,0.04950005391941613
2170,0,8,0,0.06314248502359578
2191,0,8,0,0.04168416893107874
2192,0,8,0,0.04295527573060174
2205,0,8,0,0.044473107795765424
2209,0,8,0,0.05357620742213228
2210,0,8,0,0.04142098197016602
2227,0,8,0,0.04291255645465865
2238,0,8,0,0.051458668888645774
2253,0,8,0,0.04323644977539444
2266,0,8,0,0.060210304815768986
2277,0,8,0,0.04911974124457609
2279,0,8,0,0.0418609438189735
2283,0,8,0,0.041474656584249606
2285,0,8,0,0.04155850669230127
2287,0,8,0,0.05264550200480278
2305,0,8,0,0.0429460994150468
2309,0,8,0,0.05258630564208024
2314,0,8,0,0.041883874725707225
2316,0,8,0,0.05152524316599152
2323,0,8,0,0.05156956618805115
2329,0,8,0,0.05198162205822077
2331,0,8,0,0.042683952873407684
2336,0,8,0,0.051318518575558476
2337,0,8,0,0.04168323868331799
2338,0,8,0,0.04296137553483557
2344,0,8,0,0.04290758419110865
2361,0,8,0,0.04228867759221626
2368,0,8,0,0.042766631498965806
2371,0,8,0,0.04163225058757743
2397,0,8,0,0.048458598426225914
2410,0,8,0,0.0428917655792972
2415,0,8,0,0.049077441498614774
2416,0,8,0,0.04305244444953681
2434,0,8,0,0.05184413206986824
2447,0,8,0,0.04264294967419733
2448,0,8,0,0.04977612207320074
2457,0,8,0,0.04291500356858157
2458,0,8,0,0.05104773107730502
2489,0,8,0,0.04291331903267882
2508,0,8,0,0.04291348417830242
2526,0,8,0,0.040997039674570926
2527,0,8,0,0.048834057565148956
2536,0,8,0,0.04294620403736302
2546,0,8,0,0.044204321104849405
2556,0,8,0,0.05136311751504124
2584,0,8,0,0.04290491564484573
2596,0,8,0,0.042891146582321724
2598,0,8,0,0.041220760143971795
2603,0,8,0,0.05083013560009309
2607,0,8,0,0.04970086400522514
2647,0,8,0,0.04290288519308393
2656,0,8,0,0.042315397637166574
2664,0,8,0,0.051253933579953885
2666,0,8,0,0.04289836653956083
2671,0,8,0,0.04948536719508526
2676,0,8,0,0.04288961582883652
2682,0,8,0,0.042908241805810585
2692,0,8,0,0.0428912697927339
2717,0,8,0,0.041799024273911745
2725,0,8,0,0.040751677790984694
2729,0,8,0,0.042940518948465
2735,0,8,0,0.04159101183083494
2756,0,8,0,0.04903618103691281
2763,0,8,0,0.045732211750649614
2766,0,8,0,0.047855547889940696
2767,0,8,0,0.046254976520955844
2777,0,8,0,0.041257051402249716
2821,0,8,0,0.04135158108873382
2825,0,8,0,0.04290544521800321
2828,0,8,0,0.042685199145521734
2833,0,8,0,0.04947504683761449
2837,0,8,0,0.04132521837222954
2845,0,8,0,0.0494121186412093
2857,0,8,0,0.04910177635188823
2871,0,8,0,0.04289879236451974
2877,0,8,0,0.042143582505906836
2879,0,8,0,0.048833159510173356
2887,0,8,0,0.0429016888579811
2917,0,8,0,0.04125788296645493
2925,0,8,0,0.04321298946929741
2940,0,8,0,0.04287782868510416
2949,0,8,0,0.04289741120181505
2953,0,8,0,0.04766280577606416
2965,0,8,0,0.042886250449969035
2989,0,8,0,0.049138048913000505
2992,0,8,0,0.04917668290441536
2993,0,8,0,0.041344993241842605
2996,0,8,0,0.04131737216584377
3016,0,8,0,0.0428626452330355
3048,0,8,0,0.04271712414450973
3051,0,8,0,0.0456998215500082
3067,0,8,0,0.04789392139944672
3072,0,8,0,0.04150191418027366
3074,0,8,0,0.0491100936237136
3079,0,8,0,0.042920963135800135
3092,0,8,0,0.049448382083838394
3095,0,8,0,0.047961754107114334
3105,0,8,0,0.05130646656134173
3119,0,8,0,0.041872586257493315
3124,0,8,0,0.05335303235433931
3137,0,8,0,0.053230285077927854
3147,0,8,0,0.0537768710052089
3178,0,8,0,0.05262844771810456
3180,0,8,0,0.043157896144947104
3189,0,8,0,0.041387337313574836
3193,0,8,0,0.04291218620369222
3213,0,8,0,0.047254182181050715
3226,0,8,0,0.05273438868780141
3239,0,8,0,0.052769619738340934
3243,0,8,0,0.04127368353127836
3250,0,8,0,0.05334148117587891
3256,0,8,0,0.05473966342445072
3260,0,8,0,0.04118378635534419
3277,0,8,0,0.042924859056152016
3297,0,8,0,0.05255089836712371
3325,0,8,0,0.052550873437450206
3344,0,8,0,0.05265069170868155
3351,0,8,0,0.05298476139015666
3360,0,8,0,0.05239759577224493
3366,0,8,0,0.05239649200964383
3368,0,8,0,0.043188784125060754
3376,0,8,0,0.05265960274030901
3381,0,8,0,0.042907474051837646
3387,0,8,0,0.04200319775189521
3407,0,8,0,0.04290334617669372
3438,0,8,0,0.04136653328984724
3440,0,8,0,0.052748315400763884
3495,0,8,0,0.05225702500662958
3504,0,8,0,0.04290846120472234
3518,0,8,0,0.052204563918837654
3521,0,8,0,0.0523702493328851
3522,0,8,0,0.041326052765939744
3524,0,8,0,0.05238862860715252
3547,0,8,0,0.0513752766549583
3560,0,8,0,0.042527959702743735
3581,0,8,0,0.04139158773151323
3583,0,8,0,0.05230429803357148
3603,0,8,0,0.04128224775383478
3624,0,8,0,0.05388911576920074
3628,0,8,0,0.04124662443558292
3630,0,8,0,0.05491899437692817
3646,0,8,0,0.04989577615320362
3652,0,8,0,0.04995086450407873
3659,0,8,0,0.041213042444329794
3666,0,8,0,0.042879078773501
3668,0,8,0,0.05311072441939209
3684,0,8,0,0.05346860175125861
3702,0,8,0,0.044708350484315214
3705,0,8,0,0.04291792352360992
3708,0,8,0,0.04290426286644647
3711,0,8,0,0.042902918383297066
3722,0,8,0,0.04965344142057752
3724,0,8,0,0.042892345236509484
3733,0,8,0,0.04317047420573402
3748,0,8,0,0.048039578639218684
3750,0,8,0,0.044850800213643696
3751,0,8,0,0.04272738917598903
3769,0,8,0,0.04178045493799656
3773,0,8,0,0.04288628456330733
3792,0,8,0,0.042900501155856065
3797,0,8,0,0.05248628322314488
3811,0,8,0,0.04289429570218967
3813,0,8,0,0.045931104429004374
3817,0,8,0,0.041702769398857316
3826,0,8,0,0.048207570678425626
3831,0,8,0,0.04555507247557162
3845,0,8,0,0.04292424483180663
3874,0,8,0,0.0429126990468535
3878,0,8,0,0.05840258959526415
3879,0,8,0,0.04639558885210104
3882,0,8,0,0.04858801145206547
3888,0,8,0,0.049234981987733795
3897,0,8,0,0.044181862476094215
3911,0,8,0,0.05161044717743852
3922,0,8,0,0.042907813043457955
3923,0,8,0,0.04943497338395417
3928,0,8,0,0.042968386595363936
3933,0,8,0,0.049125718925011025
3935,0,8,0,0.042906185392546
3936,0,8,0,0.0495394322102406
3939,0,8,0,0.04921365831872555
3956,0,8,0,0.05627374627046481
3957,0,8,0,0.04569204386354128
3967,0,8,0,0.04290820293857181
3985,0,8,0,0.041309273840009667
3992,0,8,0,0.042969022587177975
3997,0,8,0,0.04912061989963772
4016,0,8,0,0.04195596008183221
4044,0,8,0,0.051406532957512914
4080,0,8,0,0.04854125261839766
4082,0,8,0,0.04138520981194561
4102,0,8,0,0.04291869840084386
4129,0,8,0,0.05272592296958622
4132,0,8,0,0.0520609290668891
4137,0,8,0,0.04290994392463329
4149,0,8,0,0.04289910571101828
4150,0,8,0,0.05167964571267678
4164,0,8,0,0.05106972495585041
4178,0,8,0,0.04140449136968775
4181,0,8,0,0.04133048564651243
4183,0,8,0,0.05139120385847701
4184,0,8,0,0.056283045623943
4190,0,8,0,0.05089912981508882
4194,0,8,0,0.041379932134302834
4197,0,8,0,0.04147015835246213
4200,0,8,0,0.04131189229011202
4206,0,8,0,0.04120346555361944
4224,0,8,0,0.05119245282470259
4233,0,8,0,0.06981775326854107
4244,0,8,0,0.04288055550121346
4274,0,8,0,0.05130152900554037
4286,0,8,0,0.04115482140997268
4289,0,8,0,0.04119150561506169
4291,0,8,0,0.05068664724767512
4315,0,8,0,0.042177697443681106
4338,0,8,0,0.04290758387054194
4340,0,8,0,0.041284574358514924
4348,0,8,0,0.043581023315057844
4356,0,8,0,0.04131405521692332
4366,0,8,0,0.04149334181545482
4388,0,8,0,0.04133078144545974
4405,0,8,0,0.042911290304524216
4412,0,8,0,0.04408970239640163
4417,0,8,0,0.04134679205759217
4418,0,8,0,0.042906114441407774
4420,0,8,0,0.04128771805499323
4424,0,8,0,0.04236557127368102
4425,0,8,0,0.04813805175101335
4432,0,8,0,0.040872684334181716
4433,0,8,0,0.04294740554532991
4437,0,8,0,0.05097150492599915
4443,0,8,0,0.043465582283910245
4445,0,8,0,0.04120464023583006
4451,0,8,0,0.04114961667745558
4457,0,8,0,0.0411376634801194
4474,0,8,0,0.04355356361602244
4488,0,8,0,0.04951963222120924
4492,0,8,0,0.041389734813050576
4494,0,8,0,0.050964828378707056
4510,0,8,0,0.043641636470347724
4514,0,8,0,0.050945365739327717
4515,0,8,0,0.04165577729754162
4516,0,8,0,0.04333317353478401
4553,0,8,0,0.048185282865647196
4555,0,8,0,0.042259046732376855
4563,0,8,0,0.05140725364673019
4607,0,8,0,0.04118833462570043
4616,0,8,0,0.05414885218073115
4618,0,8,0,0.048242812980159235
4623,0,8,0,0.04146753120318643
4662,0,8,0,0.042910567272642114
4666,0,8,0,0.04686125296574149
4675,0,8,0,0.04290988797359444
4709,0,8,0,0.04129462132565558
4747,0,8,0,0.047985803990842256
4752,0,8,0,0.04290285881083009
4757,0,8,0,0.041276489197998846
4762,0,8,0,0.046923732779924406
4767,0,8,0,0.041445133833237544
4796,0,8,0,0.04192690684559742
4798,0,8,0,0.04917439804049467
4801,0,8,0,0.04922365251182947
4802,0,8,0,0.04133365567736331
4824,0,8,0,0.053968609537203956
4826,0,8,0,0.048198152782477334
4829,0,8,0,0.04346767184439404
4837,0,8,0,0.04131710547923616
4844,0,8,0,0.041914965326634
4846,0,8,0,0.04900418665493662
4854,0,8,0,0.042909076317943905
4860,0,8,0,0.04649601322758048
4871,0,8,0,0.04704368708252122
4872,0,8,0,0.05385255781437409
4875,0,8,0,0.047368689346494686
4878,0,8,0,0.04858540638395032
4885,0,8,0,0.041309846506702684
4887,0,8,0,0.04930082172966358
4906,0,8,0,0.042498937188972234
4907,0,8,0,0.04720576980183935
4914,0,8,0,0.05305651891042168
4924,0,8,0,0.04306525495650451
4928,0,8,0,0.04375446967443339
4949,0,8,0,0.04814411484961879
4963,0,8,0,0.051522830087262765
4971,0,8,0,0.042980348299632515
4977,0,8,0,0.0421436929348217
5004,0,8,0,0.052300920206427036
5014,0,8,0,0.05236585408149682
5039,0,8,0,0.04786749392539155
5051,0,8,0,0.042907802802967576
5069,0,8,0,0.05268437730611864
5070,0,8,0,0.04318795238687685
5075,0,8,0,0.051966614545347595
5081,0,8,0,0.052126662308169584
5082,0,8,0,0.04128441179063184
5083,0,8,0,0.04290932026808876
5086,0,8,0,0.04318536936961841
5090,0,8,0,0.04299466353852331
5097,0,8,0,0.05228157665047378
5102,0,8,0,0.043180865566989544
5103,0,8,0,0.04524613477463281
5121,0,8,0,0.041895611738574125
5124,0,8,0,0.041493156993428426
5131,0,8,0,0.04289527793175716
5134,0,8,0,0.04310570839511564
5151,0,8,0,0.0521396765532613
5158,0,8,0,0.04372655979048116
5166,0,8,0,0.05349006794362881
5172,0,8,0,0.05139751537585897
5176,0,8,0,0.041370337441617375
5178,0,8,0,0.05187348576446677
5185,0,8,0,0.050891369072542596
5201,0,8,0,0.04687406651383385
5205,0,8,0,0.051100833275477986
5232,0,8,0,0.043171992094812026
5235,0,8,0,0.041772845272466934
5239,0,8,0,0.052286090650210844
5241,0,8,0,0.04315566296929507
5245,0,8,0,0.0510556395673637
5277,0,8,0,0.05119509848797455
5291,0,8,0,0.04127328210163891
5312,0,8,0,0.044700095926319634
5321,0,8,0,0.04290301905645846
5325,0,8,0,0.05640929237501375
5346,0,8,0,0.04187726349425843
5347,0,8,0,0.043125264106178646
5350,0,8,0,0.042897132763680464
5359,0,8,0,0.04317473943107662
5367,0,8,0,0.05107624494734094
5372,0,8,0,0.042910588371214566
5388,0,8,0,0.042910597280321774
5404,0,8,0,0.04290917948639237
5418,0,8,0,0.051193021319075264
5441,0,8,0,0.05017599053514946
5448,0,8,0,0.0481156434952038
5475,0,8,0,0.04161719588454345
5480,0,8,0,0.05188995547852387
5481,0,8,0,0.041327421478855306
5483,0,8,0,0.05358922303936548
5486,0,8,0,0.046661415214268136
5498,0,8,0,0.042917584811652136
5505,0,8,0,0.045561876844517624
5513,0,8,0,0.0413140963493725
5529,0,8,0,0.04129946760350653
5552,0,8,0,0.04303417028145542
5558,0,8,0,0.041370171243330964
5560,0,8,0,0.05015148014629841
5566,0,8,0,0.04304578457528822
5586,0,8,0,0.04844669697956466
5611,0,8,0,0.042925495760152685
5626,0,8,0,0.04290716624926568
5627,0,8,0,0.04903522292020406
5630,0,8,0,0.05557073030232417
5636,0,8,0,0.0429253297200197
5639,0,8,0,0.04289188364277039
5669,0,8,0,0.04926402775957375
5675,0,8,0,0.04966566321415338
5691,0,8,0,0.05974772091076261
5696,0,8,0,0.04421790236592149
5708,0,8,0,0.04292360413291565
5711,0,8,0,0.0423225258761823
5717,0,8,0,0.04115380631293912
5732,0,8,0,0.049198107273856415
5745,0,8,0,0.048831379650965005
5748,0,8,0,0.04916131068149655
5758,0,8,0,0.04679702531046193
5765,0,8,0,0.041397127804127756
5804,0,8,0,0.04289702547307332
5808,0,8,0,0.049398861398889424
5812,0,8,0,0.04123153935154761
5814,0,8,0,0.049273463794751386
5824,0,8,0,0.048416866739149515
5833,0,8,0,0.04936678109018522
5835,0,8,0,0.04602363900145754
5845,0,8,0,0.27483554589585746
5877,0,8,0,0.06179425761498854
5907,0,8,0,0.041254098384684475
5926,0,8,0,0.05613708275499823
5930,0,8,0,0.042814033518013515
5939,0,8,0,0.04575701893238071
5947,0,8,0,0.04564068978811869
5952,0,8,0,0.042855276079153966
5961,0,8,0,0.05083393368577961
5963,0,8,0,0.04597757682432906
5965,0,8,0,0.0442667709388911
5978,0,8,0,0.2753340881529873
6005,0,8,0,0.29608383009698747
6011,0,8,0,0.29918298589644604
6012,0,8,0,0.2994696909759538
6013,0,8,0,0.3004506656417996
6028,0,8,0,0.0926850015551465
6030,0,8,0,0.0707703328614848
6034,0,8,0,0.06240945665855457
6037,0,8,0,0.05061122465583497
6038,0,8,0,0.052642096939335956
6050,0,8,0,0.04033931930410686
6059,0,8,0,0.04859961464287011
6072,0,8,0,0.048590234883867274
6075,0,8,0,0.28490905032102276
6081,0,8,0,0.04347109655822849
6101,0,8,0,0.06307442475089303
6104,0,8,0,0.045763405850768435
6105,0,8,0,0.048822030563435606
6110,0,8,0,0.043841070790664564
6115,0,8,0,0.04206366142393548
6131,0,8,0,0.041919583161819096
6135,0,8,0,0.04388580246041191
6143,0,8,0,0.04971806493950676
6156,0,8,0,0.049618234333975435
6161,0,8,0,0.0431886019420136
6178,0,8,0,0.15911379509441698
6185,0,8,0,0.2298143357450759
6201,0,8,0,0.21437757676997868
6209,0,8,0,0.2096734845425041
6211,0,8,0,0.20667960613100195
6214,0,8,0,0.205693785546897
6216,0,8,0,0.2074678447772011
6217,0,8,0,0.20541699690788173
6226,0,8,0,0.2142351122674488
6228,0,8,0,0.2198304441974924
6230,0,8,0,0.21270212515828266
6238,0,8,0,0.23999710783842787
6263,0,8,0,0.1985475000569587
6276,0,8,0,0.15192496504126826
6289,0,8,0,0.17512102984402544
6290,0,8,0,0.18230824511694052
6311,0,8,0,0.35595629923017175
6325,0,8,0,0.2163901655174173
6347,0,8,0,0.16688789425779713
6355,0,8,0,0.18525453905673736
6359,0,8,0,0.1821252358647825
6362,0,8,0,0.15329433425636202
6372,0,8,0,0.21695306640357362
6378,0,8,0,0.20846563243624294
6379,0,8,0,0.20810879385306635
6396,0,8,0,0.19957393533908707
6412,0,8,0,0.20705301224115327
6422,0,8,0,0.2028993189715407
6424,0,8,0,0.20237018056119338
6435,0,8,0,0.20672760946083926
6437,0,8,0,0.20580920648773754
6454,0,8,0,0.16377996600979203
6465,0,8,0,0.09735224088192673
6514,0,8,0,0.054873700290966505
6518,0,8,0,0.04163889498615731
