Indice,Malevolo,Dispositivo,TipologiaAttacco,RMSE
7,0,6,0,0.22198380474734664
13,0,6,0,0.2392528436617205
27,0,6,0,0.22373673546559497
41,0,6,0,0.21595545751263504
46,0,6,0,0.08236983364512479
52,0,6,0,0.21833341991789115
56,0,6,0,0.20244668621675235
70,0,6,0,0.13630616219987698
73,0,6,0,0.13418054669109103
74,0,6,0,0.11630336958800579
87,0,6,0,0.07637925084872754
88,0,6,0,0.07763976274849366
90,0,6,0,0.05379573358128915
106,0,6,0,0.12664986728488759
123,0,6,0,0.055802939549572
141,0,6,0,0.06366611487076511
143,0,6,0,0.07248017211507107
146,0,6,0,0.05631167138429041
149,0,6,0,0.056040166104509036
161,0,6,0,0.044805891633660666
162,0,6,0,0.04511142017163033
165,0,6,0,0.05139829918970203
176,0,6,0,0.0594411922787254
186,0,6,0,0.056514712765290145
192,0,6,0,0.06297673935896994
194,0,6,0,0.0672953469682752
231,0,6,0,0.10007639270109248
241,0,6,0,0.08583723720092713
257,0,6,0,0.040473030430144004
288,0,6,0,0.04818189148009551
298,0,6,0,0.011827094276425665
312,0,6,0,0.015383695125857211
314,0,6,0,0.013184074128771726
324,0,6,0,0.020139183843720477
328,0,6,0,0.014601379720296891
338,0,6,0,0.01967283505844012
345,0,6,0,0.04693096974543188
356,0,6,0,0.018802166842559174
368,0,6,0,0.012875657562426994
372,0,6,0,0.03236372370318498
379,0,6,0,0.013509416887772177
381,0,6,0,0.01387932570629023
382,0,6,0,0.014804774364249774
385,0,6,0,0.016731825108314828
412,0,6,0,0.014606575966642226
417,0,6,0,0.013568213630861223
427,0,6,0,0.016648313217144786
436,0,6,0,0.01602983164092958
437,0,6,0,0.020635903734790653
452,0,6,0,0.013574426298317949
501,0,6,0,0.014162718391908236
520,0,6,0,0.017099559747732366
533,0,6,0,0.015293451127889044
543,0,6,0,0.02281169615324866
550,0,6,0,0.021792536453226045
561,0,6,0,0.02351762071235054
575,0,6,0,0.060903539582690215
584,0,6,0,0.035353982020934996
597,0,6,0,0.0410592751577267
603,0,6,0,0.041268452785872815
609,0,6,0,0.04410532548300189
614,0,6,0,0.05937870344012351
619,0,6,0,0.05132355457775523
627,0,6,0,0.020836437003874712
649,0,6,0,0.03501068763726918
650,0,6,0,0.04372327287188234
654,0,6,0,0.03763115520207609
662,0,6,0,0.02675922214794447
664,0,6,0,0.018590496588463547
687,0,6,0,0.042509705993181456
696,0,6,0,0.035661545270315634
707,0,6,0,0.010480365907983732
715,0,6,0,0.009900967266436238
749,0,6,0,0.019216016108511886
766,0,6,0,0.014730114527899947
768,0,6,0,0.017981764530792844
780,0,6,0,0.02173855532984378
791,0,6,0,0.012832814213954618
793,0,6,0,0.013656214496387587
807,0,6,0,0.011671530095327657
808,0,6,0,0.012759259275224965
837,0,6,0,0.01976893251031936
843,0,6,0,0.010240254073772628
844,0,6,0,0.01301830104813572
847,0,6,0,0.016057542999519236
852,0,6,0,0.013753377793660976
858,0,6,0,0.011814430529774593
862,0,6,0,0.014704589358309695
873,0,6,0,0.01298774710256266
877,0,6,0,0.016734224229676437
882,0,6,0,0.02437588618852886
891,0,6,0,0.015746243479969033
911,0,6,0,0.01240968135198225
914,0,6,0,0.018495416705196766
920,0,6,0,0.019720578643242097
941,0,6,0,0.010157210886457251
942,0,6,0,0.012954495768546556
949,0,6,0,0.014901916163697869
959,0,6,0,0.01636461278132116
976,0,6,0,0.01235966070133664
980,0,6,0,0.015757655308128577
984,0,6,0,0.019435617359822743
995,0,6,0,0.08718103864275936
1003,0,6,0,0.04305911307669316
1020,0,6,0,0.03547530814207608
1024,0,6,0,0.05328243661494839
1052,0,6,0,0.014229350632122
1059,0,6,0,0.04790833541384057
1084,0,6,0,0.027648142117491985
1100,0,6,0,0.02298213148494368
1119,0,6,0,0.014612808737217672
1137,0,6,0,0.017514355572528468
1144,0,6,0,0.01220148787570426
1159,0,6,0,0.014780094117215679
1173,0,6,0,0.026230951957926022
1177,0,6,0,0.025386090610146815
1193,0,6,0,0.014289077977931844
1216,0,6,0,0.013060300255902064
1234,0,6,0,0.0160032499679298
1243,0,6,0,0.01601201382148995
1246,0,6,0,0.01728776852493069
1247,0,6,0,0.010811647174411338
1253,0,6,0,0.019777474155652276
1267,0,6,0,0.01475063593535899
1275,0,6,0,0.01355473043406151
1295,0,6,0,0.013063100053629503
1306,0,6,0,0.013965673028665644
1314,0,6,0,0.010097655316446064
1336,0,6,0,0.017929414680643616
1337,0,6,0,0.018157858717754743
1338,0,6,0,0.019868073688760406
1342,0,6,0,0.045217830509173565
1345,0,6,0,0.023806629764713535
1350,0,6,0,0.016037988763685278
1364,0,6,0,0.0167201715718968
1376,0,6,0,0.013903790914623196
1395,0,6,0,0.015780915980218232
1405,0,6,0,0.05464609692325721
1412,0,6,0,0.019568106296760066
1416,0,6,0,0.012387384819693363
1419,0,6,0,0.015887411034847043
1428,0,6,0,0.13604371587226666
1442,0,6,0,0.05844811754262495
1458,0,6,0,0.04120534982297407
1478,0,6,0,0.013475531508402406
1492,0,6,0,0.05935809050490643
1500,0,6,0,0.04044816710477133
1508,0,6,0,0.039137771527655955
1533,0,6,0,0.016256976952187387
1548,0,6,0,0.014019505542215791
1560,0,6,0,0.03352437572467219
1568,0,6,0,0.02316439582324163
1579,0,6,0,0.015145920606172805
1594,0,6,0,0.020961550262454047
1610,0,6,0,0.010464611627794006
1618,0,6,0,0.013911751868755352
1619,0,6,0,0.020412638269128
1632,0,6,0,0.01913281057498681
1637,0,6,0,0.017941886582044313
1678,0,6,0,0.014285820461881411
1686,0,6,0,0.0322059715853244
1692,0,6,0,0.01295956950731386
1699,0,6,0,0.015207923421157718
1703,0,6,0,0.021854688286493267
1708,0,6,0,0.015283346077393402
1710,0,6,0,0.011345766007687181
1718,0,6,0,0.010088496721969814
1735,0,6,0,0.012814191053457158
1756,0,6,0,0.022366674041914152
1785,0,6,0,0.010064260892465423
1791,0,6,0,0.01642725325501145
1806,0,6,0,0.022829607599981473
1808,0,6,0,0.03140685389571128
1810,0,6,0,0.04302545577928316
1811,0,6,0,0.015837323523447293
1828,0,6,0,0.01784312569934156
1835,0,6,0,0.01646571781662735
1839,0,6,0,0.012092241497358127
1862,0,6,0,0.06146943530423995
1888,0,6,0,0.07222586085812811
1896,0,6,0,0.11048999170721313
1897,0,6,0,0.11017037269232557
1900,0,6,0,0.06509857331480944
1906,0,6,0,0.058368832717405734
1923,0,6,0,0.037176025806774544
1939,0,6,0,0.024648486470316457
1941,0,6,0,0.020950573138584967
1944,0,6,0,0.04594146017427622
1950,0,6,0,0.045841892246883266
1970,0,6,0,0.0403748602626614
1984,0,6,0,0.048165323576036534
1991,0,6,0,0.04727584051975467
1992,0,6,0,0.04177723181735697
1993,0,6,0,0.1140230703864463
1998,0,6,0,0.08433847251632731
2003,0,6,0,0.02111844164749557
2004,0,6,0,0.01945941548970042
2012,0,6,0,0.02453891746380724
2022,0,6,0,0.07076703175587437
2031,0,6,0,0.01701614818540467
2045,0,6,0,0.03286572093850634
2047,0,6,0,0.028218021465917297
2069,0,6,0,0.021815870686008574
2072,0,6,0,0.01784799924293488
2091,0,6,0,0.01564876506324467
2093,0,6,0,0.013290991324977472
2098,0,6,0,0.014450455721721963
2111,0,6,0,0.024180278280384583
2119,0,6,0,0.01717839246367325
2124,0,6,0,0.01772824299746745
2130,0,6,0,0.03222246824116121
2134,0,6,0,0.01989286367721873
2138,0,6,0,0.012477836262407
2141,0,6,0,0.017135598706985836
2157,0,6,0,0.011474376312507018
2158,0,6,0,0.014460683586143927
2160,0,6,0,0.014350238892586362
2182,0,6,0,0.01565943253914868
2192,0,6,0,0.022215097847715096
2193,0,6,0,0.03305232495483577
2211,0,6,0,0.011380791519659225
