Indice,Malevolo,Dispositivo,TipologiaAttacco,RMSE
0,0,5,0,0.19695259955329664
10,0,5,0,0.19802193202684434
15,0,5,0,0.13569928345120155
26,0,5,0,0.14962374323362054
43,0,5,0,0.09331398300557968
53,0,5,0,0.2579601785974228
73,0,5,0,0.09750194197072629
79,0,5,0,0.04558466563822403
109,0,5,0,0.02384447890632524
127,0,5,0,0.02281583860847995
131,0,5,0,0.02554977872956546
138,0,5,0,0.045013307771600446
171,0,5,0,0.03915194356344199
190,0,5,0,0.027302086245670664
233,0,5,0,0.026475948226020948
238,0,5,0,0.022638199717465217
239,0,5,0,0.021966864387784082
242,0,5,0,0.02078207636217282
244,0,5,0,0.038479769684098955
245,0,5,0,0.046671799200965765
253,0,5,0,0.04089964260767446
260,0,5,0,0.02936752828388176
266,0,5,0,0.024770568444386847
280,0,5,0,0.02270342014440083
284,0,5,0,0.01961160371843319
286,0,5,0,0.01837300042423334
292,0,5,0,0.017536454570335997
295,0,5,0,0.018094503152543715
302,0,5,0,0.019547441827538564
335,0,5,0,0.02120990394544933
339,0,5,0,0.02115893375852201
341,0,5,0,0.020539994097742185
346,0,5,0,0.0196898781818672
363,0,5,0,0.041361766962207135
385,0,5,0,0.025826674627872755
388,0,5,0,0.03187559265417367
391,0,5,0,0.0261158461605659
397,0,5,0,0.025021331651591077
417,0,5,0,0.029779147839435336
424,0,5,0,0.045821229776544486
432,0,5,0,0.032566135704094126
441,0,5,0,0.03297009038018864
458,0,5,0,0.03054238302053991
465,0,5,0,0.05575058261886894
487,0,5,0,0.02517169120088565
517,0,5,0,0.012178398327221835
526,0,5,0,0.013779870619049084
552,0,5,0,0.010372927596598113
553,0,5,0,0.010151373166764729
572,0,5,0,0.016660842121166555
579,0,5,0,0.012485369924204234
583,0,5,0,0.013656675162381945
584,0,5,0,0.012920757399584412
590,0,5,0,0.01574771617503722
618,0,5,0,0.012432387316863547
624,0,5,0,0.01125019581076505
626,0,5,0,0.010715604050127957
634,0,5,0,0.010086953037734207
644,0,5,0,0.011251594649050328
655,0,5,0,0.014970161575491633
666,0,5,0,0.012750369578838362
667,0,5,0,0.026930130166455048
678,0,5,0,0.036013530932449085
682,0,5,0,0.010513076919853655
685,0,5,0,0.011931631633844588
705,0,5,0,0.009869462358930683
732,0,5,0,0.011486642350597922
739,0,5,0,0.012782792694875613
771,0,5,0,0.010553498565283464
773,0,5,0,0.010626249807944785
793,0,5,0,0.04969842264245034
807,0,5,0,0.0117280625075577
816,0,5,0,0.0169792886656475
833,0,5,0,0.01016707013541126
842,0,5,0,0.0133124036857
843,0,5,0,0.011376569949454437
853,0,5,0,0.00901948520295872
867,0,5,0,0.012218166591616448
873,0,5,0,0.010186973764151248
884,0,5,0,0.015708915219954246
888,0,5,0,0.010342475157289121
918,0,5,0,0.034787236365488514
930,0,5,0,0.030123402689040065
939,0,5,0,0.04594898717174851
943,0,5,0,0.03137724949909994
945,0,5,0,0.04332430069701496
952,0,5,0,0.029224396996239094
956,0,5,0,0.034478973377129775
958,0,5,0,0.02528015495350869
966,0,5,0,0.02455021108739852
967,0,5,0,0.021189569871245154
970,0,5,0,0.02274880163348308
987,0,5,0,0.03074907841879248
999,0,5,0,0.028723895824156586
1002,0,5,0,0.03254881309093137
1008,0,5,0,0.035295117805541766
1051,0,5,0,0.05501221064367269
1059,0,5,0,0.030500339629940833
1060,0,5,0,0.02988522842869236
1063,0,5,0,0.02726438047901756
1066,0,5,0,0.02233036941611267
1068,0,5,0,0.02465668915786058
1083,0,5,0,0.02486640474967374
1090,0,5,0,0.04398038404293113
1115,0,5,0,0.03809084801850906
1136,0,5,0,0.035194452252582976
1139,0,5,0,0.014335632933394484
