Indice,Malevolo,Dispositivo,TipologiaAttacco,RMSE
5,0,0,0,0.33036039789046917
56,0,0,0,0.044318781944068276
61,0,0,0,0.22010721208607578
82,0,0,0,0.019866520707562913
87,0,0,0,0.0390268371544387
91,0,0,0,0.07246489640415085
121,0,0,0,0.03293684324032128
129,0,0,0,0.028081759109427486
131,0,0,0,0.024834179546214592
134,0,0,0,0.024256653557582813
145,0,0,0,0.02288111674940416
166,0,0,0,0.02129608129112884
204,0,0,0,0.026513305967903016
217,0,0,0,0.012542873443875453
220,0,0,0,0.02022875536318514
227,0,0,0,0.014124279011536704
266,0,0,0,0.014364243355333673
289,0,0,0,0.010410399616787287
295,0,0,0,0.01832703507792773
299,0,0,0,0.013208521736314323
304,0,0,0,0.024834527161223138
307,0,0,0,0.013574293475925998
322,0,0,0,0.013550546262002205
331,0,0,0,0.013402336449114859
341,0,0,0,0.02259677154388726
359,0,0,0,0.011100708161726362
364,0,0,0,0.030443164497805004
376,0,0,0,0.011154828048032243
385,0,0,0,0.03015591191256069
395,0,0,0,0.028732463850418718
413,0,0,0,0.010441171638123994
432,0,0,0,0.0143858794231883
449,0,0,0,0.013544937422027272
457,0,0,0,0.01203617159436592
463,0,0,0,0.011910414440296816
465,0,0,0,0.016150537030304973
471,0,0,0,0.012826580346874504
490,0,0,0,0.0251957999742518
500,0,0,0,0.027619453637315803
501,0,0,0,0.02219390449906368
502,0,0,0,0.010063677617085562
517,0,0,0,0.011373529644284664
522,0,0,0,0.027494730082319944
534,0,0,0,0.013961826594377865
566,0,0,0,0.0135759289360961
572,0,0,0,0.00946288533765131
588,0,0,0,0.021297457219268776
596,0,0,0,0.009411214580525462
615,0,0,0,0.012902462055545998
622,0,0,0,0.013992809547742575
645,0,0,0,0.014701460917244719
669,0,0,0,0.014305927655643156
698,0,0,0,0.031624106605984935
727,0,0,0,0.014643638488631113
735,0,0,0,0.014863941305541984
742,0,0,0,0.012682833262194503
748,0,0,0,0.018235605196346465
765,0,0,0,0.026111830318578867
768,0,0,0,0.01387979423865063
784,0,0,0,0.01300906132145112
785,0,0,0,0.019855195841826538
788,0,0,0,0.022959677530958844
792,0,0,0,0.01353521265760496
807,0,0,0,0.07971765112975154
813,0,0,0,0.027104044332235174
821,0,0,0,0.023056375485087755
831,0,0,0,0.030209073415632004
867,0,0,0,0.014892503327555873
868,0,0,0,0.011417841061559837
875,0,0,0,0.014799807836522657
888,0,0,0,0.029577056248191277
914,0,0,0,0.0150884779928006
