Indice,Malevolo,Dispositivo,TipologiaAttacco,RMSE
3,0,2,0,0.09989627770926371
7,0,2,0,0.11949222077628507
12,0,2,0,0.28552937046294313
13,0,2,0,0.2873284160958847
60,0,2,0,0.3021478375660512
68,0,2,0,0.1856370135502497
69,0,2,0,0.07066707745627743
80,0,2,0,0.09646108308549145
93,0,2,0,0.12289957014178886
98,0,2,0,0.0754225689812018
110,0,2,0,0.051500221337781905
116,0,2,0,0.06729040059172917
117,0,2,0,0.07162754606824641
126,0,2,0,0.06562506475864442
132,0,2,0,0.048109990450762315
134,0,2,0,0.077534190313023
136,0,2,0,0.0799545542866531
209,0,2,0,0.1403725276163786
210,0,2,0,0.13441210717171687
214,0,2,0,0.08190769515476773
227,0,2,0,0.04324104199584706
234,0,2,0,0.05647285613226092
239,0,2,0,0.0960269612097308
249,0,2,0,0.04129576232670714
253,0,2,0,0.052362294583020316
260,0,2,0,0.04902634325261218
292,0,2,0,0.08170311256454005
300,0,2,0,0.06858359524362498
303,0,2,0,0.059854168330847335
304,0,2,0,0.044920988191924166
313,0,2,0,0.05520088686908306
316,0,2,0,0.05506308572953226
334,0,2,0,0.08659094574370726
336,0,2,0,0.06313867091671939
340,0,2,0,0.08245212424581194
343,0,2,0,0.04383124603055371
344,0,2,0,0.0661586361447238
346,0,2,0,0.041879095044989434
357,0,2,0,0.04470934898816777
362,0,2,0,0.06632646621840796
387,0,2,0,0.05933062526199643
399,0,2,0,0.0548053317816333
406,0,2,0,0.08245028929983453
409,0,2,0,0.0597880829833828
429,0,2,0,0.06046230688921383
446,0,2,0,0.07950685065870208
447,0,2,0,0.049464456504253976
448,0,2,0,0.06174755766539709
452,0,2,0,0.06107762576355952
487,0,2,0,0.08191741303936477
494,0,2,0,0.06137964264136869
509,0,2,0,0.04369008757249172
510,0,2,0,0.059329399723898966
513,0,2,0,0.05894993019298282
514,0,2,0,0.06410090352533455
529,0,2,0,0.06210044205950587
555,0,2,0,0.09864002068175233
556,0,2,0,0.08192062857060202
606,0,2,0,0.060780461064263894
617,0,2,0,0.055678713716742274
619,0,2,0,0.06682547890946879
626,0,2,0,0.03715853457612176
633,0,2,0,0.0737519013268954
634,0,2,0,0.09342867598738883
635,0,2,0,0.043749523357532794
637,0,2,0,0.05841594284043898
644,0,2,0,0.0450942776934186
654,0,2,0,0.051821929743008775
661,0,2,0,0.06513020880533989
669,0,2,0,0.10419778101867747
671,0,2,0,0.08313046423767184
691,0,2,0,0.0818027019035161
693,0,2,0,0.06942991491138727
697,0,2,0,0.06222057266402797
699,0,2,0,0.04038714474725024
704,0,2,0,0.05186062466203897
709,0,2,0,0.14104264700068966
713,0,2,0,0.08159565726763264
721,0,2,0,0.06470775388788019
730,0,2,0,0.07004428778522491
736,0,2,0,0.06756887375271128
740,0,2,0,0.07175659775920665
744,0,2,0,0.07104046903476383
763,0,2,0,0.03802337607886297
781,0,2,0,0.06397812637861774
793,0,2,0,0.04784854705312724
797,0,2,0,0.14131880861269505
800,0,2,0,0.049238902943496414
804,0,2,0,0.08314863319911804
837,0,2,0,0.0816609672244828
839,0,2,0,0.07128667951157776
867,0,2,0,0.04062448814341377
897,0,2,0,0.055123333830962934
904,0,2,0,0.04154474789497558
907,0,2,0,0.038295387117183284
927,0,2,0,0.0568783869906517
932,0,2,0,0.06084029057161691
955,0,2,0,0.054959708449596544
963,0,2,0,0.047104654583449854
978,0,2,0,0.059411297467223234
980,0,2,0,0.08170057138809808
984,0,2,0,0.06300867985292134
988,0,2,0,0.04342727750486002
996,0,2,0,0.05762024563458144
1000,0,2,0,0.06734763232298417
1023,0,2,0,0.05046360120555637
1028,0,2,0,0.1409036682164702
1050,0,2,0,0.08017609308666712
1056,0,2,0,0.07735163889253761
1076,0,2,0,0.07421185793359913
1077,0,2,0,0.04160372701250441
1081,0,2,0,0.07752671263581688
1103,0,2,0,0.054767054538820525
1116,0,2,0,0.07699199380363463
1131,0,2,0,0.057997460377269314
1153,0,2,0,0.07502267865204301
1176,0,2,0,0.05830091985646935
1178,0,2,0,0.0603461495552659
1179,0,2,0,0.05427865985270084
1194,0,2,0,0.1461158147657987
1209,0,2,0,0.0533864843298458
1219,0,2,0,0.04211839874988336
1222,0,2,0,0.04091211200663018
1233,0,2,0,0.0607311710742048
1236,0,2,0,0.04754396000927832
1255,0,2,0,0.056565252001100144
1256,0,2,0,0.09110132877471575
1258,0,2,0,0.04491137071031036
1291,0,2,0,0.06924993747654332
1297,0,2,0,0.044302350190449584
1302,0,2,0,0.08183295644629188
1305,0,2,0,0.08216207082196621
1316,0,2,0,0.05243191013560604
