Indice,Malevolo,Dispositivo,TipologiaAttacco,RMSE
0,0,3,0,0.26252131429615766
4,0,3,0,0.7173657718403147
7,0,3,0,0.26310731537716875
10,0,3,0,0.2609015100328198
35,0,3,0,0.037774366059153804
41,0,3,0,0.04749618948049895
43,0,3,0,0.03855301361257121
44,0,3,0,0.06129135757846754
46,0,3,0,0.03188411520626389
60,0,3,0,0.04181778771873673
66,0,3,0,0.1107538475871973
75,0,3,0,0.04885745307991117
78,0,3,0,0.021970645189151868
82,0,3,0,0.03313246041774263
95,0,3,0,0.040076561654619834
118,0,3,0,0.023330986383794827
133,0,3,0,0.03309882690825643
136,0,3,0,0.03855055036902613
148,0,3,0,0.0686931320623165
158,0,3,0,0.02836005829436795
170,0,3,0,0.020301860559746504
180,0,3,0,0.01938497045821211
183,0,3,0,0.022454016185991486
194,0,3,0,0.01867754882733729
203,0,3,0,0.019390768463423618
204,0,3,0,0.01978885388249178
210,0,3,0,0.032333451644162015
226,0,3,0,0.037761020552784776
238,0,3,0,0.03610250467119105
242,0,3,0,0.022840538676413356
293,0,3,0,0.05800422239985621
308,0,3,0,0.023857668893237635
310,0,3,0,0.03711853076865255
311,0,3,0,0.017635148233982444
330,0,3,0,0.02642062918686639
338,0,3,0,0.05226791533749371
341,0,3,0,0.03883964447548398
344,0,3,0,0.03340903348585076
349,0,3,0,0.026906569765501542
356,0,3,0,0.03925402441234171
360,0,3,0,0.03245816908673348
380,0,3,0,0.02609756729757385
417,0,3,0,0.04005038450622615
423,0,3,0,0.021718089652619663
426,0,3,0,0.02942660849217285
427,0,3,0,0.030417155598264124
428,0,3,0,0.051645931274414095
435,0,3,0,0.0611440974065811
455,0,3,0,0.02714234234812388
456,0,3,0,0.013131032606905391
461,0,3,0,0.019396968936483083
463,0,3,0,0.027553437529682888
491,0,3,0,0.026753888549903033
497,0,3,0,0.03243408090903651
504,0,3,0,0.026822834879434602
510,0,3,0,0.02789050505081105
524,0,3,0,0.030161065674487755
