Indice,Malevolo,Dispositivo,TipologiaAttacco,RMSE
11,0,1,0,0.2595187776659263
14,0,1,0,0.35038742533758493
24,0,1,0,0.27323772997411894
25,0,1,0,0.2615011675912804
54,0,1,0,0.5568746502180034
56,0,1,0,0.2331341813826357
65,0,1,0,0.3350855768723604
71,0,1,0,0.14500728342013489
85,0,1,0,0.2360362038876989
95,0,1,0,0.5051305081632362
105,0,1,0,0.29418290242853967
134,0,1,0,0.20435628912127737
138,0,1,0,0.0618538201800919
147,0,1,0,0.17206248567767107
152,0,1,0,0.10924950440811175
170,0,1,0,0.02466306884805578
176,0,1,0,0.08699267248924712
177,0,1,0,0.06608738177891792
187,0,1,0,0.03943583657846607
195,0,1,0,0.04905754367742065
198,0,1,0,0.04154456084207172
218,0,1,0,0.027019042213860773
222,0,1,0,0.0277455710427696
233,0,1,0,0.04582978837470555
240,0,1,0,0.0276608694518139
242,0,1,0,0.022319666153397977
261,0,1,0,0.018955591510138262
265,0,1,0,0.023764577849732113
274,0,1,0,0.023925678542286603
284,0,1,0,0.027607999484200178
285,0,1,0,0.024200831618079545
290,0,1,0,0.03575434953939522
303,0,1,0,0.02276292884530744
316,0,1,0,0.024031074529072133
332,0,1,0,0.0499114322081479
343,0,1,0,0.04511169681725414
348,0,1,0,0.02403469645926913
352,0,1,0,0.02453283268129142
360,0,1,0,0.023955894781134482
372,0,1,0,0.051289446652398006
390,0,1,0,0.023894117453155044
393,0,1,0,0.024097510741649685
408,0,1,0,0.023680959450424862
424,0,1,0,0.027232597562573662
435,0,1,0,0.023989361707148438
441,0,1,0,0.04542260540298539
446,0,1,0,0.024033460757948853
452,0,1,0,0.04550310678361653
458,0,1,0,0.045237526284417656
464,0,1,0,0.02540395748903906
465,0,1,0,0.04588127208585282
467,0,1,0,0.023601172768565958
468,0,1,0,0.019763086794718422
484,0,1,0,0.023728759357820497
490,0,1,0,0.020960619973117593
497,0,1,0,0.025262038967063274
505,0,1,0,0.046187840011511244
517,0,1,0,0.02768119172122148
518,0,1,0,0.023721302793383522
522,0,1,0,0.027852260530682457
525,0,1,0,0.021671189212778535
527,0,1,0,0.02575234557490329
567,0,1,0,0.025403815328008693
574,0,1,0,0.026441275370680733
582,0,1,0,0.027376845249367333
584,0,1,0,0.020412280732828723
590,0,1,0,0.021556076861601273
594,0,1,0,0.023353911422536906
604,0,1,0,0.024534437700723888
615,0,1,0,0.025421759003064367
620,0,1,0,0.021535915190069366
625,0,1,0,0.02167869854225085
628,0,1,0,0.027644943771892895
647,0,1,0,0.04649272977167852
653,0,1,0,0.02452617896848813
679,0,1,0,0.026912476206150896
690,0,1,0,0.05069149666114344
703,0,1,0,0.026223190810045722
705,0,1,0,0.024113123069162346
713,0,1,0,0.02380297016997108
717,0,1,0,0.021228815375902984
719,0,1,0,0.04659120552931142
725,0,1,0,0.027071848470951378
726,0,1,0,0.04048901897609846
729,0,1,0,0.021270850641620938
776,0,1,0,0.022502349176811296
790,0,1,0,0.025422368623055115
808,0,1,0,0.02148150035104311
814,0,1,0,0.02540257575489633
846,0,1,0,0.022246543622443583
892,0,1,0,0.02374413156555797
895,0,1,0,0.02382179915747419
899,0,1,0,0.021839789534087915
903,0,1,0,0.024404088069717382
911,0,1,0,0.024369103405843494
915,0,1,0,0.027445344213515733
956,0,1,0,0.045197354099807775
975,0,1,0,0.0233772805058677
976,0,1,0,0.019504149669204083
1030,0,1,0,0.023705302396629744
1037,0,1,0,0.02147105883590158
1042,0,1,0,0.02394564420229453
1051,0,1,0,0.04932369551147208
1069,0,1,0,0.04718741584389629
1070,0,1,0,0.027588680800486723
1077,0,1,0,0.021247318671504558
1086,0,1,0,0.06376779428278277
1092,0,1,0,0.025353550175165475
1094,0,1,0,0.027541947959416304
1122,0,1,0,0.04782466725876592
1126,0,1,0,0.01974904402603625
1140,0,1,0,0.047483841337990204
1147,0,1,0,0.027348930311054932
1162,0,1,0,0.02832298422839745
1182,0,1,0,0.06368697804116112
1198,0,1,0,0.020754667278372232
1199,0,1,0,0.0251286735072363
1203,0,1,0,0.022886601859599485
1204,0,1,0,0.023709004166327104
1211,0,1,0,0.02446739563980131
1226,0,1,0,0.027454364651839324
1233,0,1,0,0.02802874380043661
1266,0,1,0,0.023779105679421722
1268,0,1,0,0.02729741158044029
1283,0,1,0,0.0246526203838833
1284,0,1,0,0.02288645919536971
1289,0,1,0,0.02454352335174473
1299,0,1,0,0.04916864248613348
1302,0,1,0,0.021550856073849066
1304,0,1,0,0.02187130654198349
1307,0,1,0,0.026115766021722574
1311,0,1,0,0.024229809087801504
1325,0,1,0,0.02739323128600624
1351,0,1,0,0.023060862783738253
1369,0,1,0,0.019885913480426513
1372,0,1,0,0.027568791869119806
1381,0,1,0,0.020402482808328005
1382,0,1,0,0.04526339507920526
1386,0,1,0,0.023781654576122822
1396,0,1,0,0.027485524403283786
1404,0,1,0,0.02177622217001035
1411,0,1,0,0.0634114255747945
1431,0,1,0,0.02733265442510753
1433,0,1,0,0.022488382556510342
1435,0,1,0,0.023863065603149883
1448,0,1,0,0.027382881895789888
1451,0,1,0,0.02518119200809159
1459,0,1,0,0.024015643771981454
1501,0,1,0,0.02754126337456398
1516,0,1,0,0.02223542978037325
1546,0,1,0,0.019143570232275395
1559,0,1,0,0.07574364922065756
1561,0,1,0,0.04525848759428122
1570,0,1,0,0.024233437712198953
1579,0,1,0,0.02114957650357835
1585,0,1,0,0.04525766194674127
1586,0,1,0,0.024345350127431126
1603,0,1,0,0.022988738405639322
1616,0,1,0,0.02172052886436477
1619,0,1,0,0.04974192671878929
1620,0,1,0,0.027738256955466497
1630,0,1,0,0.02731696952225477
1637,0,1,0,0.024197072331607106
1654,0,1,0,0.06365846147536662
1655,0,1,0,0.023987971015542817
1658,0,1,0,0.022370991953429228
1669,0,1,0,0.024170202682150865
1675,0,1,0,0.02410341691560407
1679,0,1,0,0.023261877500025504
1697,0,1,0,0.027166307675828394
1698,0,1,0,0.02419155325970864
1711,0,1,0,0.020745525963433403
1731,0,1,0,0.022486142346266478
1748,0,1,0,0.04655179959780533
1749,0,1,0,0.027037743670157304
1759,0,1,0,0.024254253049559034
1766,0,1,0,0.04769894386552518
1772,0,1,0,0.04763127203342426
1776,0,1,0,0.024975697653551347
1800,0,1,0,0.025128034721945205
1814,0,1,0,0.040943956669166205
1818,0,1,0,0.045271212220169485
1822,0,1,0,0.024209349092956436
1830,0,1,0,0.023871678407577895
1836,0,1,0,0.04905414822854315
1846,0,1,0,0.024139161841884325
1849,0,1,0,0.049967713572505366
1850,0,1,0,0.02724197033159038
1858,0,1,0,0.022315644042330236
1875,0,1,0,0.0235461823906526
1884,0,1,0,0.024028443063894542
1888,0,1,0,0.021792229488054395
1891,0,1,0,0.0470985432173666
1904,0,1,0,0.04747605290327247
1914,0,1,0,0.06520355551025889
1917,0,1,0,0.03982332387536594
1928,0,1,0,0.06516190420983262
1929,0,1,0,0.024217183472664258
1933,0,1,0,0.16618725140833843
1938,0,1,0,0.024881663859041583
1940,0,1,0,0.06512846332004042
1943,0,1,0,0.04042293199458422
1961,0,1,0,0.02424665934467143
1967,0,1,0,0.024224758146908117
1991,0,1,0,0.02237470180929651
1998,0,1,0,0.06499856008977116
2001,0,1,0,0.04741997623564171
2006,0,1,0,0.024205921790766326
2013,0,1,0,0.047536776255703114
2017,0,1,0,0.06496156347889492
2020,0,1,0,0.02716784804660503
2033,0,1,0,0.02729435145627662
2037,0,1,0,0.024158539657802656
2038,0,1,0,0.047585281385726784
2062,0,1,0,0.06488036612144708
2072,0,1,0,0.024454433460693963
2076,0,1,0,0.04646832316053418
2081,0,1,0,0.06486718555721385
2085,0,1,0,0.024472555785490686
2099,0,1,0,0.026756383055383335
2103,0,1,0,0.021775967427559845
2104,0,1,0,0.06488258487083982
2107,0,1,0,0.027117074822723918
2152,0,1,0,0.024691615227159444
2158,0,1,0,0.05035392370599094
2165,0,1,0,0.028174552791195764
2177,0,1,0,0.026696559689964497
2232,0,1,0,0.04616539400857066
2240,0,1,0,0.02431741807163641
2242,0,1,0,0.06463557845295263
2254,0,1,0,0.02327612882335931
2258,0,1,0,0.024010929601815268
2263,0,1,0,0.027345476972775735
2277,0,1,0,0.020415986857155292
2279,0,1,0,0.024406716709411046
2280,0,1,0,0.051754157477293394
2293,0,1,0,0.02352864092029198
2307,0,1,0,0.025463258824193775
2309,0,1,0,0.026693222640816788
2317,0,1,0,0.02339769346492351
2356,0,1,0,0.04929350750025205
2364,0,1,0,0.027477715151706193
2365,0,1,0,0.024226057061795994
2377,0,1,0,0.019952051458127364
2383,0,1,0,0.02378746824621404
2387,0,1,0,0.04550203605921756
2398,0,1,0,0.04678557688309399
2410,0,1,0,0.024643479069484043
2414,0,1,0,0.0217405387129139
2430,0,1,0,0.023113239272734377
2441,0,1,0,0.027246294710707435
2442,0,1,0,0.02345881359945101
2444,0,1,0,0.06606262933140403
2462,0,1,0,0.01928232428076899
2470,0,1,0,0.04880119417036254
2473,0,1,0,0.020593758092229165
2494,0,1,0,0.04646507048100018
2504,0,1,0,0.02408136765511544
2505,0,1,0,0.04567720499257309
2508,0,1,0,0.02345475543471207
2512,0,1,0,0.045263510835848245
2514,0,1,0,0.023680535877571362
2535,0,1,0,0.02068515557365873
2545,0,1,0,0.04555974682784392
2546,0,1,0,0.027059097086128133
2556,0,1,0,0.02429276841232311
2567,0,1,0,0.020301233813985083
2571,0,1,0,0.02790969973758757
2579,0,1,0,0.06590612958751609
2592,0,1,0,0.06591085166690937
2602,0,1,0,0.019791548038459974
2606,0,1,0,0.027818731016797844
2624,0,1,0,0.02716686365598081
2628,0,1,0,0.02408193047489199
2635,0,1,0,0.04768314988830377
2643,0,1,0,0.027008329793789636
2661,0,1,0,0.045257027332997316
2666,0,1,0,0.045868809650599585
2671,0,1,0,0.05062805946022647
2676,0,1,0,0.0241776222594689
2680,0,1,0,0.01896719730524769
2681,0,1,0,0.020389532829251347
2685,0,1,0,0.04525694884799275
2704,0,1,0,0.024204376657758184
2714,0,1,0,0.06578159919873697
2744,0,1,0,0.024220966233693998
2763,0,1,0,0.023280207702012355
2782,0,1,0,0.02421133571249398
2788,0,1,0,0.024250874518781173
2805,0,1,0,0.02457758966125975
2807,0,1,0,0.02772874599993521
2815,0,1,0,0.018492488741151922
2839,0,1,0,0.06545980987625834
2846,0,1,0,0.024730367284376754
2851,0,1,0,0.06551458875378899
2855,0,1,0,0.023572189466167962
2859,0,1,0,0.027541791530820488
2873,0,1,0,0.023559660235625647
2888,0,1,0,0.04503694917364363
2891,0,1,0,0.018069653650815747
2896,0,1,0,0.02295222927004648
2901,0,1,0,0.027905196761499367
2904,0,1,0,0.024384664507579097
2905,0,1,0,0.04911436696957757
2908,0,1,0,0.017969451269909776
2915,0,1,0,0.016962580211904315
2918,0,1,0,0.048751245744052395
2923,0,1,0,0.024402487943834567
2930,0,1,0,0.02730053409420432
2934,0,1,0,0.024304551608024538
2937,0,1,0,0.02078523787007489
2938,0,1,0,0.022081054767853485
2942,0,1,0,0.02740653832437648
2944,0,1,0,0.023598832099217704
2948,0,1,0,0.04520961043667235
2949,0,1,0,0.02959503910342995
2950,0,1,0,0.02371390176814085
2956,0,1,0,0.01762141324670766
2976,0,1,0,0.05153540673099635
2977,0,1,0,0.02762973983290261
2982,0,1,0,0.04485164198266427
2984,0,1,0,0.023484508608945295
2989,0,1,0,0.026996340498122696
2993,0,1,0,0.0653866928377244
2998,0,1,0,0.02085130704352055
3004,0,1,0,0.06541217933415948
3008,0,1,0,0.0235185044719648
3027,0,1,0,0.020600044141632586
3034,0,1,0,0.09599826152093353
3039,0,1,0,0.025321910267608473
3046,0,1,0,0.061421968945343824
3057,0,1,0,0.06408252117192205
3075,0,1,0,0.021148318034325105
3089,0,1,0,0.027142933625125536
3108,0,1,0,0.027068008542243935
3112,0,1,0,0.050810647578994464
3118,0,1,0,0.02716349745480736
3128,0,1,0,0.01902725595823663
3145,0,1,0,0.023358524418363877
3174,0,1,0,0.0236099182938034
3179,0,1,0,0.027117301661236586
3191,0,1,0,0.02704753444927746
3197,0,1,0,0.025121037208834178
3199,0,1,0,0.026711788083639627
3215,0,1,0,0.024477892088048635
3218,0,1,0,0.021866941584370556
3219,0,1,0,0.023094391035742082
3241,0,1,0,0.04686130539595688
3261,0,1,0,0.023711963485382796
3275,0,1,0,0.019535210132329856
3276,0,1,0,0.0695190646765571
3279,0,1,0,0.02711152792811906
3285,0,1,0,0.02351800967569899
3297,0,1,0,0.045257452192866914
3300,0,1,0,0.06957033380085749
3304,0,1,0,0.02391389699091794
3313,0,1,0,0.04494672842915689
3329,0,1,0,0.02001481797791311
3340,0,1,0,0.020929731826072592
3344,0,1,0,0.023591676352700812
3363,0,1,0,0.02358596301783481
3365,0,1,0,0.02450742254579608
3386,0,1,0,0.026983503909987785
3394,0,1,0,0.016576798659761485
3431,0,1,0,0.02433847405913355
3438,0,1,0,0.027201014113563293
3455,0,1,0,0.02438317028566743
3465,0,1,0,0.06940703921575266
3466,0,1,0,0.024801222024446783
3477,0,1,0,0.017968861474886653
3498,0,1,0,0.02740405049284467
3499,0,1,0,0.023617373091274374
3500,0,1,0,0.017792569027135913
3501,0,1,0,0.06929004266899688
3530,0,1,0,0.024513848503242276
3535,0,1,0,0.06933997407891437
3550,0,1,0,0.023152427436692224
3556,0,1,0,0.01947038168973236
3571,0,1,0,0.024648484852163418
3575,0,1,0,0.0195228684389134
3588,0,1,0,0.02477127926839601
3607,0,1,0,0.04415103473598805
3618,0,1,0,0.06923471380103484
3622,0,1,0,0.023714105907441795
3629,0,1,0,0.06919626000710459
3644,0,1,0,0.04260397064602554
3655,0,1,0,0.044436694194964585
3664,0,1,0,0.019763878056757386
3667,0,1,0,0.025435849370527678
3668,0,1,0,0.04248448497510982
3669,0,1,0,0.02720954916738897
3689,0,1,0,0.06951462880009257
3694,0,1,0,0.023631684927959525
3706,0,1,0,0.01867532930312755
3711,0,1,0,0.017909829528343565
3715,0,1,0,0.02685815252242917
3718,0,1,0,0.017360545042983025
3720,0,1,0,0.02483767907082652
3722,0,1,0,0.0267398710711742
3729,0,1,0,0.02363943760063716
3733,0,1,0,0.0439877886144239
3740,0,1,0,0.027139072387307256
3741,0,1,0,0.04432909919028365
3742,0,1,0,0.04525702657069702
3743,0,1,0,0.02337879235455766
3745,0,1,0,0.0690224514618542
3751,0,1,0,0.06886283321286288
3768,0,1,0,0.025544632172101074
3783,0,1,0,0.027917771593767526
3784,0,1,0,0.023783485563715036
3785,0,1,0,0.022390702728193813
3794,0,1,0,0.0269194520200098
3798,0,1,0,0.02461255180253529
3825,0,1,0,0.023749709024494147
3829,0,1,0,0.044130262706814055
3883,0,1,0,0.0233232066755593
3930,0,1,0,0.074634909802121
3956,0,1,0,0.024347948324230963
3970,0,1,0,0.0214335042586497
3987,0,1,0,0.04431916343476694
4003,0,1,0,0.021082875188988416
4021,0,1,0,0.07530915379301727
4043,0,1,0,0.023913245757572504
4071,0,1,0,0.0744617358677828
4077,0,1,0,0.023541960198522113
4079,0,1,0,0.024209468538988692
4099,0,1,0,0.020880109456400918
4100,0,1,0,0.022395054208998087
4101,0,1,0,0.018302729806532445
4102,0,1,0,0.045263031041335215
4103,0,1,0,0.023934707297727766
4108,0,1,0,0.07446526832141556
4115,0,1,0,0.05207760858782934
4139,0,1,0,0.05173276728519064
4160,0,1,0,0.02358080713603565
4171,0,1,0,0.023265769882918553
4183,0,1,0,0.027393018175815013
4189,0,1,0,0.023264549754743555
4211,0,1,0,0.05152435341176581
4220,0,1,0,0.018125226929642465
4250,0,1,0,0.04529110448698465
4253,0,1,0,0.04100928132193645
4254,0,1,0,0.026319803087041974
4269,0,1,0,0.025166442959760345
4274,0,1,0,0.018298777204443183
4275,0,1,0,0.07467063604025269
4277,0,1,0,0.02713522313764271
4282,0,1,0,0.07428917759300949
4285,0,1,0,0.026533928125722552
4286,0,1,0,0.023902210141755916
4288,0,1,0,0.07424893173213333
4296,0,1,0,0.043664189760529826
4297,0,1,0,0.02674429199914837
4321,0,1,0,0.024884948100599533
4324,0,1,0,0.020390567924545272
4337,0,1,0,0.026721012989593493
4343,0,1,0,0.026743921982726408
4345,0,1,0,0.02098693686002412
4348,0,1,0,0.04399087882500594
4350,0,1,0,0.023937468321282646
4355,0,1,0,0.026572368740010285
4358,0,1,0,0.020093773792272333
4378,0,1,0,0.024887894799450878
4380,0,1,0,0.026554861573606505
4385,0,1,0,0.07401397356287769
4392,0,1,0,0.05063942590495192
4400,0,1,0,0.023930134275096195
4413,0,1,0,0.01820302879019564
4454,0,1,0,0.02202393494835125
4476,0,1,0,0.024906169580181166
4483,0,1,0,0.027720544884686466
4485,0,1,0,0.02596038794501552
4540,0,1,0,0.045256879282440536
4546,0,1,0,0.02395346498695315
4554,0,1,0,0.02445404973589416
4566,0,1,0,0.022949845529385966
4585,0,1,0,0.07894480664470775
4593,0,1,0,0.02394733160457585
4601,0,1,0,0.026578597076728883
4606,0,1,0,0.03031778378692759
4608,0,1,0,0.017672902695868294
4611,0,1,0,0.043235411734621365
4619,0,1,0,0.023462227313143163
4647,0,1,0,0.025468850259584213
4649,0,1,0,0.02624785252271599
4650,0,1,0,0.023695121640595968
4669,0,1,0,0.04510744530345155
4672,0,1,0,0.024069762673774746
4689,0,1,0,0.020773756286318334
4691,0,1,0,0.04307980614657212
4692,0,1,0,0.026289989227193923
